"PatternId_decimal",description,"killchain_stage",name,objective,"pattern_updated",scenario,scenarioFriendly,severity,"show_in_ui",tactic,technique
3287,"This process wrote a suspicious file to disk. That associated file meets the Adware/PUP Anti-malware ML algorithm's low-confidence threshold. Review the associated file.",Unknown,,"Falcon Detection Method","1698430764.0","known_malware","Known malware",30,True,"Machine Learning","Adware/PUP"
3288,"This process wrote a suspicious file to disk. That associated file meets the Adware/PUP Anti-malware ML algorithm's lowest-confidence threshold. Review the associated file.",Unknown,,"Falcon Detection Method","1698430764.0","known_malware","Known malware",30,True,"Machine Learning","Adware/PUP"
3290,"This process wrote a suspicious file to disk. That associated file meets the Adware/PUP Anti-malware ML algorithm's high-confidence threshold. Review the associated file.",Unknown,,"Falcon Detection Method","1698430764.0","known_malware","Known malware",30,True,"Machine Learning","Adware/PUP"
3291,"This process wrote a suspicious file to disk. That associated file meets the Adware/PUP Anti-malware ML algorithm's medium-confidence threshold. Review the associated file.",Unknown,,"Falcon Detection Method","1698429517.0","known_malware","Known malware",30,True,"Machine Learning","Adware/PUP"
3292,"This process wrote a suspicious file to disk. That associated file meets the Adware/PUP Anti-malware ML algorithm's low-confidence threshold. Review the associated file.",Unknown,,"Falcon Detection Method","1698429517.0","known_malware","Known malware",30,True,"Machine Learning","Adware/PUP"
3293,"This process wrote a suspicious file to disk. That associated file meets the Adware/PUP Anti-malware ML algorithm's lowest-confidence threshold. Review the associated file.",Unknown,,"Falcon Detection Method","1698429517.0","known_malware","Known malware",30,True,"Machine Learning","Adware/PUP"
3295,"This process wrote a suspicious file to disk. That associated file meets the ML algorithm's high-confidence malware detection threshold. Review the associated file.",Unknown,,"Falcon Detection Method","1698429517.0","known_malware","Known malware",30,True,"Machine Learning","Cloud-based ML"
3296,"This process wrote a suspicious file to disk. That associated file meets the ML algorithm's high-confidence adware/PUP detection threshold. Review the associated file.",Unknown,,"Falcon Detection Method","1698430764.0","known_malware","Known malware",30,True,"Machine Learning","Adware/PUP"
3300,"The creation or execution of targeted malware known by CrowdStrike Intelligence",Unknown,deprecated,"Falcon Detection Method","1698430764.0","intel_detection","Intelligence-driven detection",70,False,"Falcon Intel","Intelligence Indicator - Hash"
3301,"The creation or execution of malware known by CrowdStrike Intelligence",Unknown,deprecated,"Falcon Detection Method","1698430764.0","intel_detection","Intelligence-driven detection",50,False,"Falcon Intel","Intelligence Indicator - Hash"
3302,"The creation or execution of malware known by CrowdStrike Intelligence",Unknown,deprecated,"Falcon Detection Method","1698430764.0","intel_detection","Intelligence-driven detection",30,False,"Falcon Intel","Intelligence Indicator - Hash"
3350,"This file meets the File Analysis ML algorithm's high-confidence threshold for malware. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,,"Falcon Detection Method","1698430764.0","machine_learning","Machine learning",70,True,"Machine Learning","Cloud-based ML"
3351,"This file meets the File Analysis ML algorithm's medium-confidence threshold for malware. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,MLOnWriteFileAnalysisMedium,"Falcon Detection Method","1698429517.0","machine_learning","Machine learning",50,True,"Machine Learning","Cloud-based ML"
3352,"This file meets the File Analysis ML algorithm's low-confidence threshold for malware. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,MLOnWriteFileAnalysisLow,"Falcon Detection Method","1698429517.0","machine_learning","Machine learning",30,True,"Machine Learning","Cloud-based ML"
3353,"This file meets the File Analysis ML algorithm's lowest-confidence threshold for malware. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,MLOnWriteFileAnalysisLowest,"Falcon Detection Method","1698429517.0","machine_learning","Machine learning",10,True,"Machine Learning","Cloud-based ML"
3400,"A domain lookup matched a CrowdStrike Intelligence indicator used in targeted attacks",Unknown,,"Falcon Detection Method","1698429517.0","intel_detection","Intelligence-driven detection",70,False,"Falcon Intel","Intelligence Indicator - Domain"
3401,"A domain lookup matched a CrowdStrike Intelligence indicator",Unknown,deprecated,"Falcon Detection Method","1698429517.0","intel_detection","Intelligence-driven detection",50,False,"Falcon Intel","Intelligence Indicator - Domain"
3402,"A domain lookup matched a CrowdStrike Intelligence indicator used in non-targeted, commodity malware",Unknown,deprecated,"Falcon Detection Method","1698430764.0","intel_detection","Intelligence-driven detection",30,False,"Falcon Intel","Intelligence Indicator - Domain"
3450,"A Windows Management Instrumentation (WMI) request from a remote host caused this process to run. This method is often used by adversaries for lateral movement. Investigate the process trees for both hosts.",Unknown,WmiCreateProcessLateralMovement,"Follow Through","1698430764.0","suspicious_activity","Suspicious activity",70,False,Execution,"Windows Management Instrumentation"
3451,"A Windows Management Instrumentation (WMI) request from a remote host caused this process to run a file written over SMB. This method is often used by adversaries for lateral movement. Investigate the file and process trees for both hosts.",Unknown,LateralMovementWmiExecOnSmbFile,Explore,"1698430764.0","suspicious_activity","Suspicious activity",70,False,"Lateral Movement","SMB/Windows Admin Shares"
3452,"Service Control Manager executed a file written by a remote host over SMB. This method is often used by adversaries for lateral movement. Investigate the file and process trees for both hosts.",Unknown,ServiceExecOnSMBFile2,Explore,"1698430764.0","suspicious_activity","Suspicious activity",70,False,"Lateral Movement","SMB/Windows Admin Shares"
3453,"A scheduled task executed a file written by a remote host over SMB. This method is often used by adversaries for lateral movement. Investigate the file and process trees for both hosts.",Unknown,SchTaskExecOnSMBFile2,Explore,"1698430764.0","suspicious_activity","Suspicious activity",70,False,"Lateral Movement","SMB/Windows Admin Shares"
3454,"A user remotely authenticated from a host with suspicious behavior. This could be indicative of lateral movement. Investigate both hosts.",Unknown,LateralMovementUserLogon,Explore,"1698429517.0","suspicious_activity","Suspicious activity",70,False,"Lateral Movement","Remote Services"
3455,"A user logged in using Remote Desktop Protocol (RDP) from a host with suspicious behavior. This could be indicative of lateral movement. Investigate both hosts.",Unknown,LateralMovementUserLogonInteractive,Explore,"1698429517.0","suspicious_activity","Suspicious activity",70,False,"Lateral Movement","Remote Services"
3500,"Malware was executed that is known by CrowdStrike Intelligence and attributable to a known adversary.",Unknown,IntelAttributedMalware,"Falcon Detection Method","1698429517.0","intel_detection","Intelligence-driven detection",70,True,"Falcon Intel","Attributed to Adversary"
4000,"A file on your watchlist was executed.",Unknown,WatchlistExecuted,"Falcon Detection Method","1698429517.0","known_malware","Known malware",70,True,"Custom Intelligence","Indicator of Compromise"
4001,"Suspicious symbolic link was created",Unknown,,,"1698429517.0","suspicious_activity","Suspicious activity",50,False,,
4002,"An attempt was made to unmap NULL page of a process",Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",50,False,,
4003,"An attempt was made to disable data execution prevention (DEP) setting of a process",Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",50,False,,
4004,"A file meets the machine learning-based on-sensor AV protection's high-confidence threshold for malicious files.",Unknown,,,"1698430764.0",NGAV,NGAV,70,True,,
4005,"A file meets the machine learning-based on-sensor AV protection's medium-confidence threshold for malicious files.",Unknown,,,"1698430764.0",NGAV,NGAV,50,True,,
4006,"A file meets the machine learning-based on-sensor AV protection's low-confidence threshold for malicious files.",Unknown,,,"1698430764.0",NGAV,NGAV,30,True,,
4007,"A file meets the machine learning-based on-sensor AV protection's lowest-confidence threshold for malicious files.",Unknown,,,"1698429517.0",NGAV,NGAV,10,True,,
4008,"A file meets the machine learning-based on-sensor AV protection's high-confidence threshold for malicious files.",Unknown,,,"1698429517.0",NGAV,NGAV,70,True,,
4009,"This file meets the File Analysis ML algorithm's high-confidence threshold for malware.",Unknown,,,"1698429517.0",NGAV,NGAV,70,True,,
4010,"This file meets the File Analysis ML algorithm's medium-confidence threshold for malware.",Unknown,,,"1698429517.0",NGAV,NGAV,50,True,,
4011,"This file meets the File Analysis ML algorithm's low-confidence threshold for malware.",Unknown,,,"1698429517.0",NGAV,NGAV,30,True,,
4012,"This file meets the File Analysis ML algorithm's lowest-confidence threshold for malware.",Unknown,,,"1698430764.0",NGAV,NGAV,10,True,,
4013,"This file matches CrowdStrike Intelligence's high confidence threshold for malicious files. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698430764.0",NGAV,NGAV,70,True,,
4014,"This file matches CrowdStrike Intelligence's medium confidence threshold for malicious files. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698430764.0",NGAV,NGAV,50,True,,
4015,"This file matches CrowdStrike Intelligence's low confidence threshold for malicious files. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698430764.0",NGAV,NGAV,30,True,,
4016,"This file matches CrowdStrike Intelligence's lowest confidence threshold for malicious files. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698430764.0",NGAV,NGAV,10,True,,
4017,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware.",Unknown,,,"1698429517.0",NGAV,NGAV,70,True,,
4018,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware.",Unknown,,,"1698429517.0",NGAV,NGAV,50,True,,
4019,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware.",Unknown,,,"1698429517.0",NGAV,NGAV,30,True,,
4020,"This file meets the File Attribute ML algorithm's lowest-confidence threshold for malware.",Unknown,,,"1698429517.0",NGAV,NGAV,10,True,,
4021,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware.",Unknown,,,"1698429517.0",NGAV,NGAV,70,True,,
4022,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware.",Unknown,,,"1698430764.0",NGAV,NGAV,50,True,,
4023,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware.",Unknown,,,"1698430764.0",NGAV,NGAV,30,True,,
4024,"This file meets the Behavioral Analysis ML algorithm's high-confidence threshold for malware. It might be malicious and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698430764.0",NGAV,NGAV,70,True,,
4025,"This file meets the Behavioral Analysis ML algorithm's medium-confidence threshold for malware. It might be malicious and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698430764.0",NGAV,NGAV,50,True,,
4026,"This file meets the Behavioral Analysis ML algorithm's low-confidence threshold for malware. It might be malicious and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698430764.0",NGAV,NGAV,30,True,,
4027,"This file meets the Behavioral Analysis ML algorithm's lowest-confidence threshold for malware. It might be malicious and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698429517.0",NGAV,NGAV,10,True,,
4028,"This file meets the Behavioral Analysis plus Static Analysis ML algorithm's high-confidence threshold for malware. It might be malicious and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698429517.0",NGAV,NGAV,70,True,,
4029,"This file meets the Behavioral Analysis plus Static Analysis ML algorithm's medium-confidence threshold for malware. It might be malicious and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698429517.0",NGAV,NGAV,50,True,,
4030,"This file meets the Behavioral Analysis plus Static Analysis ML algorithm's low-confidence threshold for malware. It might be malicious and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698429517.0",NGAV,NGAV,30,True,,
4031,"This file meets the Behavioral Analysis plus Static Analysis ML algorithm's lowest-confidence threshold for malware. It might be malicious and/or part of an adversary's toolkit. Review the file.",Unknown,,,"1698429517.0",NGAV,NGAV,10,True,,
4032,"Demo simulated malicious artifacts being identified in memory",Unknown,MaliciousDataFoundInMemoryScan,"Falcon Detection Method","1698430764.0","suspicious_activity","Suspicious activity",10,True,"Post-Exploit","Malicious Tool Execution"
4033,"CONTROL BEHAVIOR: Exclude written office documents from analysis",Unknown,,,"1698430764.0","internal_control","Internal control",10,False,,
4034,"Demonstration of a detection based on behaviors noted by Extended User Mode Data within a process.",Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",10,True,,
4035,"A file on the file system meets the on-sensor machine learning high confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",Unknown,"Machine Learning Identified High Confidence Malicious File","Falcon Detection Method","1698430764.0",NGAV,NGAV,70,False,"Machine Learning","Sensor-based ML"
4036,"A file on the file system meets the on-sensor machine learning medium confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",Unknown,"Machine Learning Identified Medium Confidence Malicious File","Falcon Detection Method","1698430764.0",NGAV,NGAV,50,False,"Machine Learning","Sensor-based ML"
4037,"A file on the file-system meets the machine learning-based on-sensor AV protection's low confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",Unknown,"Machine Learning Identified Low Confidence Malicious File","Falcon Detection Method","1698429517.0",NGAV,NGAV,30,False,"Machine Learning","Sensor-based ML"
4038,"A file on the file system meets the on-sensor machine learning lowest confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",Unknown,"Machine Learning Identified Lowest Confidence Malicious File","Falcon Detection Method","1698429517.0",NGAV,NGAV,10,False,"Machine Learning","Sensor-based ML"
4100,"A process bypassed Windows User Access Controls.",Installation,,"Gain Access","1698429517.0","privilege_escalation","Privilege escalation",50,True,"Privilege Escalation","Bypass User Account Control"
4200,"A standard Windows process was run by an unexpected process",Unknown,deprecated,"Follow Through","1698429517.0","suspicious_activity","Suspicious activity",50,False,Execution,"Service Execution"
4300,"The vssadmin tool was used to delete all volume snapshots.",Unknown,VssAdminSnapshotDeletion,"Follow Through","1698429517.0","suspicious_activity","Suspicious activity",70,True,Impact,"Inhibit System Recovery"
4302,"The command ""net group"" was executed. Adversaries can use this to identify targets for lateral movement. Review the process tree.",Unknown,NetGroupRecon,Explore,"1698430764.0","suspicious_activity","Suspicious activity",30,False,Discovery,"Account Discovery"
4303,"A command was run that is associated with Chopper web shell activity.",Unknown,ChopperWebshellCommandMac,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",70,True,Persistence,"Web Shell"
4304,"The wevtutil tool was used to clear the event log.  This action is used by attackers to remove traces of their activities from the machine.",Unknown,WevtutilEventlogClear,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",30,False,"Defense Evasion","Indicator Removal on Host"
4305,"A command was run that is associated with dumping LSASS process memory.","Lateral motion",ProcdumpLsassDump,"Gain Access","1698430764.0","credential_theft","Credential theft",80,True,"Credential Access","OS Credential Dumping"
4306,"PowerShell was run with a hidden window and encoded commands on the command line.",Unknown,PowershellHiddenEncoded,"Follow Through","1698430764.0","suspicious_activity","Suspicious activity",30,True,Execution,PowerShell
4500,"A registry key was set to replace accessibility functionality, which is often done by attackers to bypass the login screen.",Unknown,AccessibilityRegWriteSethcBypass,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4501,"A registry key was set to replace accessibility configuration functionality, which is often done by attackers to bypass the login screen.",Unknown,AccessibilityRegWriteUtilmanBypass,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4502,"A registry key was set to replace the on-screen keyboard, which is often done by attackers to bypass the login screen.",Unknown,RegWriteOnScreenKeyboardBypass,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4503,"A registry key was set to replace the system tool narrator, which is often done by attackers to bypass the login screen.",Unknown,RegWriteSystemNarratorBypass,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4504,"A registry key was set to replace the magnify accessibility tool, which is often done by attackers to bypass the login screen.",Unknown,RegWriteMagnifyBypass,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4600,"A volume shadow snapshot was created for a registry hive containing user password hashes","Lateral motion",RegHiveDumpViaSnapshot,"Gain Access","1698430764.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
4700,"This MD5 hash was prevented from executing in accordance with your organization's policy.",Unknown,,"Falcon Detection Method","1698430764.0","blocked_hash","Blocked Hash",70,True,"Custom Intelligence","Indicator of Compromise"
4701,"This SHA256 hash was prevented from executing in accordance with your organization's policy.",Unknown,,"Falcon Detection Method","1698430764.0","blocked_hash","Blocked Hash",70,True,"Custom Intelligence","Indicator of Compromise"
4702,"This SHA1 hash was prevented from executing in accordance with your organization's policy.",Unknown,,"Falcon Detection Method","1698430764.0","blocked_hash","Blocked Hash",70,True,"Custom Intelligence","Indicator of Compromise"
4703,"A file surpassed a high-confidence antivirus detection threshold. The process was blocked.",Unknown,BlockedHashAVSha256,"Falcon Detection Method","1698430764.0","blocked_hash","Blocked Hash",70,True,"Machine Learning","Cloud-based ML"
4704,"A file surpassed a high-confidence antivirus detection threshold. The process was terminated.",Unknown,KilledHashAVSha256,"Falcon Detection Method","1698429517.0","blocked_hash","Blocked Hash",70,True,"Machine Learning","Cloud-based ML"
4705,"A process launched that shares behavioral characteristics with known malware. If this is unexpected, review the file and investigate the process tree.",Unknown,KnownMalwareProcess,"Falcon Detection Method","1698430764.0","suspicious_activity","Suspicious activity",70,True,Malware,"Malicious File"
4706,"A file surpassed a high-confidence adware detection threshold. The process was terminated.",Unknown,,"Falcon Detection Method","1698429517.0","blocked_hash","Blocked Hash",30,True,"Machine Learning","Adware/PUP"
4707,"A file surpassed a high-confidence static file analysis detection threshold for malware. The process was blocked.",Unknown,,"Falcon Detection Method","1698429517.0","blocked_hash","Blocked Hash",70,True,"Machine Learning","Cloud-based ML"
4708,"A file surpassed a high-confidence machine learning-based static (file) analysis detection threshold for malware. The process was terminated.",Unknown,,"Falcon Detection Method","1698429517.0","blocked_hash","Blocked Hash",70,True,"Machine Learning","Cloud-based ML"
4709,"This file meets the File Analysis ML algorithm's low-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4710,"This file meets the File Analysis ML algorithm's low-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4711,"This file meets the File Analysis ML algorithm's medium-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4712,"This file meets the File Analysis ML algorithm's medium-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4713,"This file meets the File Analysis ML algorithm's high-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4714,"This file meets the File Analysis ML algorithm's high-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4715,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4716,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4717,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4718,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4719,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4720,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4721,"This file meets the machine learning-based on-sensor AV protection for malicious files. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Sensor-based ML"
4722,"This file meets the machine learning-based on-sensor AV protection for malicious files. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Sensor-based ML"
4723,"This file meets the machine learning-based on-sensor AV protection's low confidence threshold for malicious files and was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Sensor-based ML"
4724,"This file meets the machine learning-based on-sensor AV protection's low confidence threshold for malicious files and was terminated.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Sensor-based ML"
4725,"This file meets the machine learning-based on-sensor AV protection's medium confidence threshold for malicious files and was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Sensor-based ML"
4726,"This file meets the machine learning-based on-sensor AV protection's medium confidence threshold for malicious files and was terminated.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Sensor-based ML"
4727,"This file meets the machine learning-based on-sensor AV protection's high confidence threshold for malicious files and was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Sensor-based ML"
4728,"This file meets the machine learning-based on-sensor AV protection's high confidence threshold for malicious files and was terminated.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Sensor-based ML"
4729,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4730,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4731,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4732,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4733,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4734,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4735,"This file meets the Adware/PUP algorithm's high-confidence threshold.",Unknown,,"Falcon Detection Method","1698430764.0",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4736,"A file surpassed a high-confidence adware detection threshold. The process was terminated.",Unknown,,"Falcon Detection Method","1698429517.0","blocked_hash","Blocked Hash",30,True,"Machine Learning","Adware/PUP"
4737,"This MD5 hash was blocked from being written to the file-system in accordance with your organization's policy.",Unknown,,"Falcon Detection Method","1698430764.0","blocked_hash","Blocked Hash",70,False,"Custom Intelligence","Indicator of Compromise"
4738,"This SHA256 hash was blocked from being written to the file-system in accordance with your organization's policy.",Unknown,,"Falcon Detection Method","1698429517.0","blocked_hash","Blocked Hash",70,True,"Custom Intelligence","Indicator of Compromise"
4739,"A file written to the file-system surpassed a high-confidence adware detection threshold.",Unknown,,"Falcon Detection Method","1698429517.0","blocked_hash","Blocked Hash",30,True,"Custom Intelligence","Indicator of Compromise"
4740,"A file written to the file-system matches CrowdStrike Intelligence's high confidence threshold for malicious files. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,IntelIndicatorHigh,"Falcon Detection Method","1698429517.0",NGAV,NGAV,70,True,"Falcon Intel","Intelligence Indicator - Hash"
4741,"A file written to the file-system matches CrowdStrike Intelligence's medium confidence threshold for malicious files. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,,"Falcon Detection Method","1698430764.0",NGAV,NGAV,50,True,"Falcon Intel","Intelligence Indicator - Hash"
4742,"A file written to the file-system matches CrowdStrike Intelligence's low confidence threshold for malicious files. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,,"Falcon Detection Method","1698429517.0",NGAV,NGAV,30,True,"Falcon Intel","Intelligence Indicator - Hash"
4743,"A file written to the file-system matches CrowdStrike Intelligence's lowest confidence threshold for malicious files. It might be malware and/or part of an adversary's toolkit. Review the file.",Unknown,,"Falcon Detection Method","1698430764.0",NGAV,NGAV,10,True,"Falcon Intel","Intelligence Indicator - Hash"
4744,"A file written to the file-system surpassed a high-confidence adware detection threshold.",Unknown,,"Falcon Detection Method","1698430764.0",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4745,"A file written to the file-system surpassed a medium-confidence adware detection threshold.",Unknown,,"Falcon Detection Method","1698429517.0",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4746,"A file written to the file-system surpassed a low-confidence adware detection threshold.",Unknown,,"Falcon Detection Method","1698430764.0",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4747,"A file written to the file-system surpassed a lowest-confidence adware detection threshold.",Unknown,,"Falcon Detection Method","1698430764.0",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4748,"A file written to the file-system was classified as Adware/PUP based on its SHA256 hash.",Unknown,"Detect OnWrite Adware/PUP Hash","Falcon Detection Method","1698429517.0",NGAV,NGAV,30,True,Malware,PUP
4749,"A file written to the file-system surpassed a medium-confidence adware detection threshold.",Unknown,,"Falcon Detection Method","1698429517.0",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4750,"A file written to the file-system surpassed a low-confidence adware detection threshold.",Unknown,,"Falcon Detection Method","1698430764.0",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4751,"A file written to the file-system surpassed a lowest-confidence adware detection threshold.",Unknown,,"Falcon Detection Method","1698429517.0",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4752,"A file written to the file-system surpassed a high-confidence adware detection threshold.",Unknown,,"Falcon Detection Method","1698429517.0",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4753,"This file meets the File Analysis ML algorithm's lowest-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",10,True,"Machine Learning","Cloud-based ML"
4754,"This file meets the File Analysis ML algorithm's lowest-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698429517.0","activity_prevented","A malicious activity was prevented",10,True,"Machine Learning","Cloud-based ML"
4755,"This file meets the File Attribute ML algorithm's lowest-confidence threshold for malware. The process was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",10,True,"Machine Learning","Cloud-based ML"
4756,"This file meets the File Attribute ML algorithm's lowest-confidence threshold for malware. The process was terminated.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",10,True,"Machine Learning","Cloud-based ML"
4757,"This file meets the machine learning-based on-sensor AV protection's lowest-confidence threshold for malicious files and was blocked.",ResponseActions,,"Falcon Detection Method","1698430764.0","activity_prevented","A malicious activity was prevented",10,True,"Machine Learning","Sensor-based ML"
